region,date,value
fid003,4/23/2020,630986
fid003,3/2/2020,739359
fid003,3/16/2020,744130
fid003,3/17/2020,719768
fid003,3/3/2020,703997
fid003,4/22/2020,548557
fid003,4/20/2020,560639
fid003,3/29/2020,767794
fid003,3/15/2020,666731
fid003,4/8/2020,717002
fid003,4/9/2020,749773
fid003,3/14/2020,659370
fid003,4/21/2020,617444
fid003,3/28/2020,739892
fid003,4/19/2020,561824
fid003,4/25/2020,550510
fid003,4/30/2020,523179
fid003,4/24/2020,633352
fid003,3/5/2020,767965
fid003,4/18/2020,583160
fid003,3/7/2020,741731
fid003,3/13/2020,723902
fid003,4/26/2020,495997
fid003,4/27/2020,555169
fid003,3/6/2020,749809
fid004,4/16/2020,2154129
fid004,4/2/2020,2546872
fid004,3/23/2020,2384914
fid004,3/22/2020,2390791
fid004,4/3/2020,2457454
fid004,4/17/2020,1929448
fid004,4/1/2020,2582294
fid004,3/8/2020,2688486
fid004,4/15/2020,2416139
fid004,3/20/2020,2323137
fid004,4/29/2020,1856883
fid004,3/21/2020,2517786
fid004,4/28/2020,1874582
fid004,4/14/2020,2081463
fid004,3/9/2020,2546813
fid004,3/31/2020,2594613
fid004,3/25/2020,2785089
fid004,4/4/2020,2241844
fid004,4/10/2020,2471360
fid004,3/19/2020,2530766
fid004,4/11/2020,2366734
fid004,3/18/2020,2512385
fid004,4/5/2020,2231794
fid004,3/24/2020,2309216
fid004,3/30/2020,2468224
fid004,3/26/2020,2455974
fid004,4/13/2020,2170178
fid004,4/7/2020,2608280
fid004,4/6/2020,2365503
fid004,4/12/2020,2222409
fid004,3/27/2020,2572862
fid004,2/14/2020,2702855
fid004,5/9/2020,1969760
fid004,5/21/2020,1891604
fid004,2/28/2020,2588297
fid004,5/20/2020,1809596
fid004,2/29/2020,2668878
fid004,2/1/2020,2601933
fid004,5/8/2020,1769211
fid004,2/15/2020,2750625
fid004,2/3/2020,2393688
fid004,2/17/2020,2221211
fid004,5/22/2020,1941319
fid004,5/23/2020,1805178
fid004,2/2/2020,2479588
fid004,5/27/2020,1827040
fid004,2/6/2020,2516545
fid004,2/12/2020,2471886
fid004,2/13/2020,2657896
fid004,2/7/2020,2821075
fid004,5/26/2020,1732327
fid004,5/24/2020,1913191
fid004,5/30/2020,1971524
fid004,2/11/2020,2586860
fid004,5/18/2020,1629453
fid004,2/5/2020,2573996
fid004,2/10/2020,2572847
fid004,5/19/2020,1886202
fid004,5/31/2020,1729584
fid004,5/25/2020,1697780
fid004,2/21/2020,2627539
fid004,5/28/2020,1927695
fid004,2/9/2020,2533032
fid004,5/14/2020,1783835
fid004,5/15/2020,1781357
fid004,5/1/2020,1802050
fid004,2/8/2020,2658090
fid004,2/20/2020,3337300
fid004,5/29/2020,2112993
fid004,2/22/2020,2585113
fid004,5/17/2020,1663259
fid004,5/3/2020,1590167
fid004,5/2/2020,1732371
fid004,5/16/2020,1812926
fid004,2/23/2020,2572826
fid004,5/12/2020,1849844
fid004,5/6/2020,1769563
fid004,2/27/2020,2398103
fid004,2/26/2020,2549988
fid004,5/7/2020,1777982
fid004,5/13/2020,1760214
fid004,5/5/2020,1929945
fid004,5/11/2020,1681950
fid004,2/18/2020,2499621
fid004,2/24/2020,2548282
fid004,2/25/2020,2519559
fid004,5/10/2020,1943365
fid004,2/19/2020,2596631
fid004,5/4/2020,1738340
fid004,4/23/2020,1899573
fid004,3/2/2020,2542372
fid004,3/16/2020,2662072
fid004,3/17/2020,2360138
fid004,3/3/2020,2398057
fid004,4/22/2020,1627013
fid004,4/20/2020,2027425
fid004,3/29/2020,2246064
