region,date,value
fid008,4/11/2020,99959
fid008,4/5/2020,99403
fid008,3/24/2020,103974
fid008,3/30/2020,112267
fid008,3/31/2020,106960
fid008,3/25/2020,108123
fid008,4/4/2020,97864
fid008,3/19/2020,99926
fid008,4/10/2020,103446
fid008,4/9/2020,108967
fid008,3/14/2020,111779
fid008,3/28/2020,104329
fid008,4/21/2020,109445
fid008,3/29/2020,110700
fid008,4/20/2020,107511
fid008,3/15/2020,106213
fid008,4/8/2020,98984
fid008,3/17/2020,107806
fid008,3/3/2020,110356
fid008,4/22/2020,106517
fid008,4/23/2020,111069
fid008,3/2/2020,114414
fid008,3/16/2020,112638
fid008,4/27/2020,101290
fid008,3/6/2020,116411
fid008,3/7/2020,113469
fid008,3/13/2020,108211
fid008,4/26/2020,87810
fid008,4/30/2020,112474
fid008,4/24/2020,102149
fid008,3/5/2020,109078
fid008,4/18/2020,112765
fid008,4/19/2020,97517
fid008,4/25/2020,101896
fid008,5/2/2020,98237
